store,list,_name_,FACTS,M_2014_01,M_2014_02,M_2014_03,M_2014_04,M_2014_05,M_2014_06,M_2014_07,M_2014_08,M_2014_09,M_2014_10,M_2014_11,M_2014_12,M_2015_01,M_2015_02,M_2015_03,M_2015_04,M_2015_05,M_2015_06,M_2015_07,M_2015_08,M_2015_09,M_2015_10,M_2015_11,M_2015_12,M_2016_01,M_2016_02,M_2016_03,M_2016_04,M_2016_05,M_2016_06,YEAR_2014_COMMON,YEAR_2014_NONCOMMON,YEAR_2015_COMMON,YEAR_2015_NONCOMMON,YEAR_2016_COMMON
' Pandora Acropoleos,All,Quantity,Quantity,36370.25,32187.54,36344.25,34832.86,36987.47,37850.98,41104.16,37239.54,38071.34,35956.04,32306.05,31781.18,31687.42,30016.0999999999,34009.73,32739.2499999999,31097.27,28419.49,28513.05,27111.04,30283.8299999999,30127.6,28869.7399999999,29143.02,27627.37,27112.23,28315.73,29212.21,28278.44,28652.71,214573.35,216458.31,187969.26,174048.28,169198.69
' Pandora Acropoleos,All,Avg_basket,Average Basket,4.61119433678682,4.47777257351017,4.57475345477354,4.84090063592972,4.52819193857919,4.45995409888878,4.44410679923034,4.51049439569031,4.41195328921758,4.48615724660554,4.53652494428256,4.86573038397337,4.66360408684557,4.66695484934524,4.45412200504423,4.73251845841793,4.5013562883932,4.3868250191214,4.36266330369365,4.48175769337407,4.3290673449613,4.43851790450932,4.39466740671162,4.67042510627656,4.52651738205047,4.49090786152192,4.49670719520331,4.61829383506813,4.48220885223832,4.41874524386031,4.58354446090378,4.53999056603775,4.56562952545402,4.44550677061965,4.50689834172434
' Pandora Acropoleos,All,Avg_price_item,Average Price Per Item,1.60294004028005,1.60385789035132,1.60311631138339,1.7483069147924,1.59458595032301,1.46320412311651,1.34844988925697,1.39398284726395,1.48856173699165,1.58055892695633,1.63817922649164,1.83414995918971,1.72857335813396,1.69770489837123,1.66169799054568,1.78160128897275,1.79085752543553,1.81635103233736,1.78955636103472,1.78883215103518,1.77029028362663,1.77731648056932,1.78269530657359,1.92262469709727,1.84747987231506,1.8372944608393,1.90694218372619,1.97460205852281,1.88364598612937,1.78336953118922,1.60061615293782,1.53403632320699,1.74435569943727,1.80511579890363,1.87293441810929
' Pandora Acropoleos,All,Avg_quantity,Average Quantity Purchased,2.87671043265048,2.79187613843351,2.85366284547738,2.76890779014308,2.83972898272553,3.04807376389112,3.2957152020526,3.23568859153706,2.96390346438302,2.8383359646353,2.76924824275673,2.6528530884808,2.69794976585781,2.7489788442165,2.68046421815889,2.65632860040567,2.51352004526349,2.41518568879068,2.43784627222982,2.50540985121522,2.44539970930232,2.49731432360743,2.46518145333447,2.42919229807451,2.45010376019865,2.44430490443563,2.35807211858761,2.33884787830264,2.37953887579939,2.47775077827741,2.86361252352164,2.95950656275635,2.61737300880026,2.46272664242355,2.40633003384816
' Pandora Acropoleos,Lch,Sales,Sales,,,,,,22.64,202.2,3662.75,7437.49,8511.35,9928.47,11136.83,11365.0099999999,11770.99,13590.07,9694.22999999999,12654.62,11650.65,12392.64,11584.44,13927.77,14221.79,13976.86,15628.4699999999,14503.24,14404.35,15729.7999999999,16899.1999999999,15096.85,14551.93,22.64,40879.09,70725.57,81731.97,91185.37
' Pandora Acropoleos,Lch,Salesonstore,Sales % On Total Store Sales,,,,,,0.00040878446026,0.0036480481499,0.07055788260277,0.13123853701522,0.14976692150572,0.18760182226664,0.19105426267488,0.20748902353906,0.23099177997459,0.24047305176248,0.16620116927823,0.22723007291332,0.22570131560058,0.2428705058685,0.23886871586135,0.25979231566854,0.26559809570337,0.27157489563488,0.27892496826315,0.28414876586493,0.28916761939366,0.29131168969224,0.29296932223279,0.28342072710895,0.28478266527875,0.00006591943032,0.12310942789552,0.21570220069368,0.26014600672931,0.28774355033108
' Pandora Acropoleos,Lch,Salesontotal,Sales % On National Sales,,,,,,0.00002588669594,0.00023078767113,0.00394931097772,0.00808613825946,0.00894048092536,0.01068016063887,0.0106730774216,0.01153159297041,0.01317849755506,0.01332601854064,0.00932855619431,0.01304754660506,0.01284101235935,0.01378757884962,0.01244562912172,0.01453878057241,0.01441515225765,0.0144494403621,0.01390233124978,0.01435486708892,0.01529696573408,0.01506375905669,0.01501278061203,0.0145748695569,0.01505031143083,3.9361541881998E-6,0.00723725715706,0.01216271339276,0.01393400940262,0.0148884963584
' Pandora Acropoleos,Lch,No_customers,Number Of Customers,,,,,,1,13,196,310,340,378,423,477,491,582,460,549,538,595,548,602,642,604,675,763,648,727,723,681,708,1,676,1128,1393,1659
' Pandora Acropoleos,Lch,Visits,Visits,,,,,,2,50,665,1483,1657,1866,1963,2077,2187,2671,1705,2405,2270,2447,2166,2756,2816,2851,2852,2756,2849,3122,3173,2844,2758,2,7684,13315,15888,17502
' Pandora Acropoleos,Lch,Quantity,Quantity,,,,,,13.51,132.22,2453.53999999999,4600.1,4821.89,5457.1,5627.41999999999,6016.38,6281.22,7572.16,4983.32999999999,6992.21,6201.76,6677.35999999999,6224.96,7947.07999999999,8014.23,7892.14,7829.43,7781.61999999999,7890.4,8173.17,8500.39,7851.90999999999,7880.7,13.51,23092.27,38047.06,44585.1999999999,48078.19
