"cardcode","Store","RFM (MAY15-JUN15)","Rescaled Score","Visited Stores","Recency Score","Frequency Score","Monetary Score","Recency Value","Frequency Value","Monetary Value","Private Label % Sales","RFM (MAR16-APR16)","Rescaled Score","Visited Stores","Recency Score","Frequency Score","Monetary Score","Recency Value","Frequency Value","Monetary Value","Private Label % Sales","RFM (MAY16-JUN16)","Rescaled Score","Visited Stores","Recency Score","Frequency Score","Monetary Score","Recency Value","Frequency Value","Monetary Value","Private Label % Sales","Score Difference with Y_Ago","RFM Lights with Y_Ago (MAY15-JUN15)","Score Difference with Previous","RFM Lights with Previous (MAR16-APR16)"
'80011608,National,212,0.188,Pandora Athalassas,2,1,2,25,1,13.62,0.00%,534,0.75,Pandora Acropoleos - Pandora Athalassas,5,3,4,1,6,78.47,0.00%,322,0.313,Pandora Acropoleos - Pandora Athalassas,3,2,2,6,3,21.93,0.00%,66.49%,Blue,(  58.27%),Red
'80011609,National,,,,,,,,,,,345,0.813,Pandora Athalassas - Pandora Prodromou,3,4,5,8,13,117.51,0.00%,334,0.625,Pandora Athalassas - Pandora Prodromou,3,3,4,10,6,51.74,0.00%,,White,(  23.12%),Yellow
'80011610,National,111,0,Pandora Ayios Antonios,1,1,1,59,1,3.14,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011611,National,411,0.188,Pandora Ayios Antonios,4,1,1,5,1,4.72,0.00%,333,0.5,Pandora Ayios Antonios,3,3,3,5,4,35.73,0.00%,532,0.5,Pandora Ayios Antonios,5,3,2,1,6,20.1,0.00%,165.96%,Blue,0.00%,Green
'80011613,National,333,0.5,Pandora Athalassas,3,3,3,7,5,36.36,0.00%,321,0.188,Pandora Agios Dometios - Pandora Athalassas,3,2,1,8,3,10.04,0.00%,322,0.313,Pandora Kaimakli - Pandora Athalassas,3,2,2,13,2,11.43,0.00%,(  37.40%),Red,66.49%,Blue
'80011614,National,332,0.375,Pandora Athalassas,3,3,2,6,5,15.97,0.00%,233,0.438,Pandora Athalassas,2,3,3,12,5,42.68,0.00%,344,0.688,Pandora Athalassas,3,4,4,9,7,45.56,0.00%,83.47%,Blue,57.08%,Blue
'80011615,National,,,,,,,,,,,112,0.125,Pandora Athalassas,1,1,2,39,2,21.49,0.00%,,,,,,,,,,,,,,Black
'80011616,National,544,0.813,Pandora Ayios Antonios,5,4,4,0,9,53.72,0.00%,333,0.5,Pandora Ayios Antonios,3,3,3,5,7,33.18,0.00%,244,0.625,Pandora Ayios Antonios,2,4,4,25,11,46.45,0.00%,(  23.12%),Yellow,25.00%,Green
'80011617,National,155,0.75,Pandora Ayios Antonios - Pandora Athalassas,1,5,5,32,19,129.54,3.31%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011618,National,442,0.5,Pandora Athalassas,4,4,2,4,9,22.72,0.00%,443,0.625,Pandora Acropoleos - Pandora Athalassas,4,4,3,2,12,37.05,0.00%,331,0.25,Pandora Acropoleos - Pandora Athalassas,3,3,1,13,4,6.84,0.00%,(  50.00%),Red,(  60.00%),Red
'80011619,National,113,0.25,Pandora Tseriou,1,1,3,55,1,23.34,0.00%,311,0.125,Pandora Athalassas,3,1,1,5,1,8.1,0.00%,224,0.5,Pandora Tseriou,2,2,4,16,2,43,0.00%,100.00%,Blue,300.00%,Blue
'80011620,National,,,,,,,,,,,343,0.563,Pandora Agios Dometios - Pandora Acropoleos - Pandora Athalassas - Pandora Prodromou,3,4,3,5,9,26.66,0.00%,242,0.375,Pandora Ayios Antonios - Pandora Athalassas,2,4,2,24,8,15.59,0.00%,,White,(  33.39%),Red
'80011621,National,333,0.5,Pandora Agios Dometios - Pandora Tseriou - Pandora Athalassas,3,3,3,6,4,41.29,0.00%,445,0.875,Pandora Agios Dometios - Pandora Tseriou - Pandora Kaimakli,4,4,5,2,10,138.97,0.00%,455,0.938,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Tseriou - Pandora Athalassas,4,5,5,5,19,251.96,0.00%,87.60%,Blue,7.20%,Green
'80011622,National,211,0.063,Pandora Agios Dometios,2,1,1,13,1,1.33,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011623,National,444,0.75,Pandora Ayios Antonios - Pandora Tseriou - Pandora Athalassas,4,4,4,2,9,47.34,0.00%,533,0.625,Pandora Ayios Antonios - Pandora Tseriou - Pandora Athalassas,5,3,3,1,7,32.42,0.00%,443,0.625,Pandora Tseriou - Pandora Athalassas,4,4,3,4,8,38.2,0.00%,(  16.67%),Yellow,0.00%,Green
'80011625,National,433,0.563,Pandora Athalassas,4,3,3,4,4,37.64,0.00%,,,,,,,,,,,434,0.688,Pandora Athalassas,4,3,4,2,4,49.06,0.00%,22.20%,Green,,White
'80011627,National,411,0.188,Pandora Athalassas,4,1,1,2,1,5.25,0.00%,,,,,,,,,,,222,0.25,Pandora Athalassas,2,2,2,29,2,10.8,0.00%,32.98%,Green,,White
'80011629,National,311,0.125,Pandora Athalassas,3,1,1,12,1,2.24,0.00%,233,0.438,Pandora Agios Dometios - Pandora Athalassas,2,3,3,16,5,25.84,0.00%,111,0,Pandora Athalassas,1,1,1,60,1,3.9,0.00%,( 100.00%),Red,( 100.00%),Red
'80011630,National,355,0.875,Pandora Athalassas,3,5,5,12,16,87.26,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011631,National,245,0.75,Pandora Ayios Antonios - Pandora Acropoleos - Pandora Athalassas,2,4,5,13,12,116.39,6.65%,345,0.813,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Athalassas,3,4,5,9,8,100.86,5.12%,232,0.313,Pandora Athalassas,2,3,2,18,4,19.12,0.00%,(  58.27%),Red,(  61.50%),Red
'80011632,National,311,0.125,Pandora Athalassas,3,1,1,11,1,2.67,0.00%,434,0.688,Pandora Athalassas,4,3,4,3,4,68.03,0.00%,223,0.375,Pandora Athalassas,2,2,3,17,2,25.34,0.00%,200.00%,Blue,(  45.49%),Red
'80011633,National,512,0.375,Pandora Athalassas,5,1,2,1,1,16.08,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011634,National,112,0.125,Pandora Ayios Antonios,1,1,2,47,2,12.64,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011635,National,,,,,,,,,,,333,0.5,Pandora Ayios Antonios - Pandora Athalassas,3,3,3,5,5,31.47,0.00%,223,0.375,Pandora Ayios Antonios - Pandora Athalassas,2,2,3,16,2,22.98,0.00%,,White,(  25.00%),Yellow
'80011636,National,,,,,,,,,,,334,0.625,Pandora Ayios Antonios - Pandora Tseriou - Pandora Athalassas - Pandora Prodromou,3,3,4,10,7,55.86,2.31%,544,0.813,Pandora Ayios Antonios - Pandora Tseriou - Pandora Athalassas,5,4,4,0,12,71.61,0.00%,,White,30.08%,Green
'80011638,National,212,0.188,Pandora Tseriou,2,1,2,16,2,19.24,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011639,National,355,0.875,Pandora Athalassas,3,5,5,6,41,293.28,0.00%,355,0.875,Pandora Acropoleos - Pandora Athalassas,3,5,5,5,23,147.78,0.00%,355,0.875,Pandora Ayios Antonios - Pandora Athalassas,3,5,5,9,14,138.18,0.00%,0.00%,Green,0.00%,Green
'80011640,National,555,1,Pandora Agios Dometios,5,5,5,1,41,244.49,0.00%,533,0.625,Pandora Agios Dometios,5,3,3,1,6,39.33,0.00%,344,0.688,Pandora Agios Dometios - Pandora Athalassas,3,4,4,9,7,66.1,0.00%,(  31.20%),Red,10.08%,Green
'80011641,National,232,0.313,Pandora Athalassas,2,3,2,14,4,16.32,0.00%,444,0.75,Pandora Athalassas,4,4,4,4,9,52.47,0.00%,322,0.313,Pandora Athalassas,3,2,2,8,3,13.45,0.00%,0.00%,Green,(  58.27%),Red
'80011642,National,,,,,,,,,,,,,,,,,,,,,311,0.125,Pandora Ayios Antonios,3,1,1,7,1,1.57,0.00%,,White,,White
'80011643,National,112,0.125,Pandora Athalassas,1,1,2,38,1,15.62,0.00%,111,0,Pandora Agios Dometios,1,1,1,41,1,10.33,0.00%,,,,,,,,,,,,Black,,Black
'80011644,National,332,0.375,Pandora Athalassas - Pandora Prodromou,3,3,2,9,4,17.09,0.00%,455,0.938,Pandora Acropoleos - Pandora Athalassas - Pandora Prodromou,4,5,5,3,22,130.4,0.00%,444,0.75,Pandora Ayios Antonios - Pandora Acropoleos - Pandora Athalassas,4,4,4,5,12,71.01,0.00%,100.00%,Blue,(  20.04%),Yellow
'80011645,National,235,0.688,Pandora Acropoleos - Pandora Athalassas,2,3,5,22,4,118.99,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011646,National,,,,,,,,,,,134,0.5,Pandora Acropoleos - Pandora Athalassas,1,3,4,43,5,51.2,0.00%,334,0.625,Pandora Athalassas,3,3,4,12,4,50.69,16.91%,,White,25.00%,Green
'80011647,National,335,0.75,Pandora Ayios Antonios - Pandora Athalassas,3,3,5,7,5,96.26,0.00%,245,0.75,Pandora Ayios Antonios - Pandora Athalassas,2,4,5,14,9,94.78,0.00%,433,0.563,Pandora Ayios Antonios - Pandora Athalassas,4,3,3,4,4,40.91,0.00%,(  24.93%),Yellow,(  24.93%),Yellow
'80011649,National,211,0.063,Pandora Ayios Antonios,2,1,1,13,1,4.88,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011650,National,334,0.625,Pandora Tseriou - Pandora Athalassas,3,3,4,6,6,49.18,0.00%,244,0.625,Pandora Tseriou - Pandora Athalassas,2,4,4,11,8,76.27,0.00%,132,0.25,Pandora Athalassas,1,3,2,37,4,17.98,0.00%,(  60.00%),Red,(  60.00%),Red
'80011654,National,,,,,,,,,,,532,0.5,Pandora Ayios Antonios - Pandora Tseriou - Pandora Athalassas,5,3,2,1,4,23.44,0.00%,345,0.813,Pandora Ayios Antonios - Pandora Tseriou - Pandora Athalassas,3,4,5,7,10,86.79,0.00%,,White,62.60%,Blue
'80011655,National,222,0.25,Pandora Athalassas,2,2,2,17,3,12.28,0.00%,312,0.25,Pandora Athalassas,3,1,2,5,2,14.77,0.00%,,,,,,,,,,,,Black,,Black
'80011656,National,112,0.125,Pandora Athalassas,1,1,2,52,1,12.66,0.00%,,,,,,,,,,,112,0.125,Pandora Athalassas,1,1,2,54,1,12.38,0.00%,0.00%,Green,,White
'80011657,National,,,,,,,,,,,,,,,,,,,,,112,0.125,Pandora Tseriou,1,1,2,39,1,13.24,0.00%,,White,,White
'80011658,National,211,0.063,Pandora Acropoleos,2,1,1,21,1,4.76,0.00%,,,,,,,,,,,222,0.25,Pandora Acropoleos - Pandora Athalassas,2,2,2,21,3,13.64,0.00%,296.83%,Blue,,White
'80011659,National,544,0.813,Pandora Acropoleos - Pandora Athalassas,5,4,4,0,12,50.03,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011660,National,134,0.5,Pandora Athalassas,1,3,4,44,4,50.38,4.55%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011662,National,212,0.188,Pandora Tseriou,2,1,2,16,2,13.8,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011664,National,311,0.125,Pandora Acropoleos,3,1,1,12,1,10.48,0.00%,212,0.188,Pandora Acropoleos,2,1,2,21,2,12,0.00%,,,,,,,,,,,,Black,,Black
'80011665,National,112,0.125,Pandora Athalassas,1,1,2,54,1,12.95,0.00%,411,0.188,Pandora Athalassas,4,1,1,2,2,10.15,0.00%,433,0.563,Pandora Athalassas,4,3,3,3,6,30.26,0.00%,350.40%,Blue,199.47%,Blue
'80011667,National,334,0.625,Pandora Athalassas,3,3,4,11,4,79.37,0.00%,212,0.188,Pandora Athalassas,2,1,2,12,1,19.98,0.00%,,,,,,,,,,,,Black,,Black
'80011668,National,112,0.125,Pandora Athalassas,1,1,2,54,1,12,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011669,National,,,,,,,,,,,113,0.25,Pandora Athalassas,1,1,3,36,2,25.88,0.00%,112,0.125,Pandora Athalassas,1,1,2,42,1,13.91,0.00%,,White,(  50.00%),Red
'80011670,National,,,,,,,,,,,212,0.188,Pandora Tseriou,2,1,2,22,1,12.23,0.00%,555,1,Pandora Tseriou,5,5,5,1,21,93.67,0.00%,,White,431.91%,Blue
'80011671,National,311,0.125,Pandora Prodromou,3,1,1,9,2,10.39,0.00%,545,0.938,Pandora Agios Dometios - Pandora Athalassas - Pandora Prodromou,5,4,5,0,12,190.13,3.51%,312,0.25,Pandora Athalassas,3,1,2,10,1,18.72,0.00%,100.00%,Blue,(  73.35%),Red
'80011672,National,243,0.5,Pandora Athalassas,2,4,3,13,7,28.14,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011673,National,112,0.125,Pandora Tseriou,1,1,2,56,1,12.53,0.00%,411,0.188,Pandora Athalassas,4,1,1,2,1,2.66,0.00%,,,,,,,,,,,,Black,,Black
'80011674,National,332,0.375,Pandora Acropoleos - Pandora Athalassas,3,3,2,7,4,13.79,0.00%,222,0.25,Pandora Tseriou - Pandora Athalassas,2,2,2,14,3,21.14,0.00%,223,0.375,Pandora Tseriou - Pandora Athalassas,2,2,3,23,2,28.12,0.00%,0.00%,Green,50.00%,Green
'80011675,National,522,0.438,Pandora Tseriou - Pandora Athalassas,5,2,2,0,3,13.73,0.00%,111,0,Pandora Prodromou,1,1,1,34,1,5.28,0.00%,321,0.188,Pandora Ayios Antonios - Pandora Tseriou,3,2,1,6,2,9.52,0.00%,(  57.08%),Red,100.00%,Blue
'80011676,National,333,0.5,Pandora Athalassas,3,3,3,8,4,26.75,0.00%,112,0.125,Pandora Athalassas,1,1,2,33,1,18.89,0.00%,111,0,Pandora Athalassas,1,1,1,31,1,5.73,0.00%,( 100.00%),Red,( 100.00%),Red
'80011677,National,323,0.438,Pandora Athalassas,3,2,3,6,3,28.32,9.39%,534,0.75,Pandora Athalassas,5,3,4,0,4,48.08,0.00%,114,0.375,Pandora Athalassas,1,1,4,57,1,47.61,0.00%,(  14.38%),Yellow,(  50.00%),Red
'80011678,National,232,0.313,Pandora Ayios Antonios - Pandora Agios Dometios,2,3,2,15,4,14.55,0.00%,233,0.438,Pandora Agios Dometios - Pandora Prodromou,2,3,3,16,7,25.51,0.00%,111,0,Pandora Agios Dometios,1,1,1,39,1,2.66,0.00%,( 100.00%),Red,( 100.00%),Red
'80011679,National,334,0.625,Pandora Athalassas,3,3,4,6,6,47.13,0.00%,234,0.563,Pandora Athalassas,2,3,4,16,7,53.84,0.00%,533,0.625,Pandora Athalassas - Pandora Prodromou,5,3,3,0,4,25.01,0.00%,0.00%,Green,11.01%,Green
'80011680,National,544,0.813,Pandora Athalassas,5,4,4,1,9,62.98,0.00%,255,0.813,Pandora Athalassas,2,5,5,15,14,126.65,0.00%,555,1,Pandora Athalassas,5,5,5,0,16,149.05,0.00%,23.00%,Green,23.00%,Green
'80011682,National,111,0,Pandora Athalassas,1,1,1,53,1,4.5,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011686,National,333,0.5,Pandora Athalassas,3,3,3,10,4,38.88,0.00%,522,0.438,Pandora Athalassas,5,2,2,0,3,20.86,0.00%,523,0.563,Pandora Athalassas,5,2,3,1,3,23.76,0.00%,12.60%,Green,28.54%,Green
'80011687,National,111,0,Pandora Athalassas,1,1,1,58,1,4.52,0.00%,332,0.375,Pandora Athalassas,3,3,2,10,4,13.3,0.00%,,,,,,,,,,,,Black,,Black
'80011688,National,111,0,Pandora Athalassas,1,1,1,42,1,4.14,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011689,National,122,0.188,Pandora Athalassas,1,2,2,48,3,22.34,0.00%,434,0.688,Pandora Tseriou - Pandora Athalassas,4,3,4,4,6,51.8,0.00%,355,0.875,Pandora Tseriou - Pandora Athalassas,3,5,5,6,16,84.81,0.00%,365.43%,Blue,27.18%,Green
'80011690,National,445,0.875,Pandora Ayios Antonios - Pandora Acropoleos - Pandora Athalassas,4,4,5,5,10,150.8,0.00%,445,0.875,Pandora Ayios Antonios - Pandora Athalassas,4,4,5,3,12,205.68,0.00%,445,0.875,Pandora Ayios Antonios - Pandora Acropoleos - Pandora Athalassas - Pandora Prodromou,4,4,5,3,9,181.27,0.00%,0.00%,Green,0.00%,Green
'80011691,National,122,0.188,Pandora Athalassas,1,2,2,36,3,15.04,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011692,National,534,0.75,Pandora Kaimakli - Pandora Athalassas - Pandora Prodromou,5,3,4,1,5,47.57,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011694,National,111,0,Pandora Athalassas,1,1,1,29,1,5.71,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011695,National,112,0.125,Pandora Athalassas,1,1,2,43,2,16.2,0.00%,333,0.5,Pandora Ayios Antonios - Pandora Athalassas - Pandora Prodromou,3,3,3,6,6,38.83,0.00%,333,0.5,Pandora Ayios Antonios,3,3,3,8,6,39.42,0.00%,300.00%,Blue,0.00%,Green
'80011696,National,234,0.563,Pandora Athalassas,2,3,4,17,4,59.28,0.00%,,,,,,,,,,,111,0,Pandora Athalassas,1,1,1,36,1,3.52,0.00%,( 100.00%),Red,,White
'80011697,National,,,,,,,,,,,211,0.063,Pandora Athalassas,2,1,1,16,2,7.88,0.00%,,,,,,,,,,,,,,Black
'80011699,National,411,0.188,Pandora Athalassas,4,1,1,5,1,3.33,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011701,National,222,0.25,Pandora Ayios Antonios - Pandora Tseriou - Pandora Athalassas,2,2,2,27,3,15.48,0.00%,344,0.688,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Tseriou - Pandora Athalassas,3,4,4,7,10,72.76,0.00%,545,0.938,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Athalassas - Pandora Prodromou,5,4,5,0,12,94.4,0.00%,275.20%,Blue,36.34%,Green
'80011702,National,445,0.875,Pandora Tseriou - Pandora Athalassas,4,4,5,2,11,163.61,4.66%,555,1,Pandora Tseriou - Pandora Athalassas,5,5,5,0,17,360.67,0.00%,455,0.938,Pandora Tseriou - Pandora Athalassas,4,5,5,4,14,278.85,0.00%,7.20%,Green,(   6.20%),Yellow
'80011703,National,144,0.563,Pandora Acropoleos,1,4,4,28,13,44.11,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011704,National,112,0.125,Pandora Athalassas,1,1,2,33,1,22.38,0.00%,113,0.25,Pandora Athalassas,1,1,3,43,1,25.15,0.00%,,,,,,,,,,,,Black,,Black
'80011705,National,334,0.625,Pandora Tseriou - Pandora Athalassas - Pandora Prodromou,3,3,4,7,4,73,3.53%,113,0.25,Pandora Athalassas,1,1,3,48,1,25.87,0.00%,223,0.375,Pandora Athalassas,2,2,3,16,2,33.58,0.00%,(  40.00%),Red,50.00%,Green
'80011707,National,445,0.875,Pandora Athalassas - Pandora Prodromou,4,4,5,2,12,137.25,0.00%,234,0.563,Pandora Athalassas,2,3,4,11,4,61.68,2.16%,234,0.563,Pandora Athalassas,2,3,4,16,4,43.25,0.00%,(  35.66%),Red,0.00%,Green
'80011708,National,111,0,Pandora Athalassas,1,1,1,39,1,7.14,0.00%,213,0.313,Pandora Tseriou,2,1,3,18,2,24.01,0.00%,,,,,,,,,,,,Black,,Black
'80011709,National,311,0.125,Pandora Athalassas,3,1,1,11,2,10.96,0.00%,455,0.938,Pandora Athalassas,4,5,5,3,20,116.45,0.00%,445,0.875,Pandora Athalassas,4,4,5,2,11,81.31,0.00%,600.00%,Blue,(   6.72%),Yellow
'80011710,National,,,,,,,,,,,513,0.5,Pandora Athalassas,5,1,3,0,1,32.31,0.00%,212,0.188,Pandora Athalassas,2,1,2,21,1,21.14,0.00%,,White,(  62.40%),Red
'80011712,National,,,,,,,,,,,111,0,Pandora Athalassas,1,1,1,24,1,4.9,0.00%,111,0,Pandora Athalassas,1,1,1,49,1,7.36,0.00%,,White,0.00%,Green
'80011713,National,423,0.5,Pandora Acropoleos - Pandora Athalassas,4,2,3,2,3,23.17,0.00%,312,0.25,Pandora Athalassas,3,1,2,6,2,15.95,0.00%,,,,,,,,,,,,Black,,Black
'80011714,National,113,0.25,Pandora Athalassas,1,1,3,52,2,40.93,0.00%,522,0.438,Pandora Athalassas,5,2,2,1,3,14.98,0.00%,433,0.563,Pandora Athalassas,4,3,3,4,4,38.25,0.00%,125.20%,Blue,28.54%,Green
'80011715,National,333,0.5,Pandora Tseriou - Pandora Athalassas,3,3,3,8,5,37.02,3.08%,211,0.063,Pandora Ayios Antonios,2,1,1,19,1,7.14,0.00%,111,0,Pandora Tseriou,1,1,1,34,1,7.04,0.00%,( 100.00%),Red,( 100.00%),Red
'80011716,National,345,0.813,Pandora Athalassas,3,4,5,11,9,88.17,0.00%,545,0.938,Pandora Athalassas,5,4,5,0,11,98.99,2.40%,445,0.875,Pandora Athalassas,4,4,5,5,8,90.05,0.00%,7.63%,Green,(   6.72%),Yellow
'80011717,National,554,0.875,Pandora Ayios Antonios - Pandora Tseriou - Pandora Athalassas,5,5,4,0,20,62.88,0.00%,443,0.625,Pandora Ayios Antonios - Pandora Athalassas - Pandora Prodromou,4,4,3,3,10,43.37,0.00%,343,0.563,Pandora Ayios Antonios - Pandora Athalassas,3,4,3,6,11,34.03,0.00%,(  35.66%),Red,(   9.92%),Yellow
'80011719,National,344,0.688,Pandora Athalassas - Pandora Prodromou,3,4,4,12,7,58.35,0.00%,323,0.438,Pandora Athalassas - Pandora Prodromou,3,2,3,8,3,26.99,0.00%,321,0.188,Pandora Prodromou,3,2,1,7,2,9.63,0.00%,(  72.67%),Red,(  57.08%),Red
'80011720,National,212,0.188,Pandora Athalassas,2,1,2,15,2,13.38,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011722,National,132,0.25,Pandora Athalassas,1,3,2,39,5,14.92,0.00%,344,0.688,Pandora Athalassas,3,4,4,8,12,73.77,0.00%,222,0.25,Pandora Athalassas,2,2,2,28,3,16.21,0.00%,0.00%,Green,(  63.66%),Red
'80011723,National,321,0.188,Pandora Athalassas,3,2,1,8,3,10.56,0.00%,331,0.25,Pandora Athalassas,3,3,1,10,4,9.71,0.00%,242,0.375,Pandora Athalassas,2,4,2,24,8,21.85,0.00%,99.47%,Blue,50.00%,Green
'80011724,National,444,0.75,Pandora Athalassas,4,4,4,2,7,73.82,0.00%,244,0.625,Pandora Acropoleos - Pandora Athalassas,2,4,4,13,9,61.36,0.00%,455,0.938,Pandora Tseriou - Pandora Acropoleos - Pandora Athalassas,4,5,5,3,13,135.23,0.00%,25.07%,Green,50.08%,Blue
'80011725,National,332,0.375,Pandora Athalassas,3,3,2,12,5,12.92,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011727,National,,,,,,,,,,,112,0.125,Pandora Ayios Antonios,1,1,2,29,1,23.24,0.00%,,,,,,,,,,,,,,Black
'80011728,National,445,0.875,Pandora Athalassas,4,4,5,2,11,93.85,0.00%,422,0.375,Pandora Athalassas,4,2,2,2,3,20.52,0.00%,223,0.375,Pandora Athalassas,2,2,3,14,3,36.41,16.23%,(  57.14%),Red,0.00%,Green
'80011729,National,,,,,,,,,,,111,0,Pandora Athalassas,1,1,1,43,2,5.9,0.00%,,,,,,,,,,,,,,Black
'80011730,National,544,0.813,Pandora Athalassas,5,4,4,1,7,59.54,0.00%,344,0.688,Pandora Athalassas,3,4,4,8,9,71.05,0.00%,545,0.938,Pandora Athalassas,5,4,5,0,9,85.16,0.00%,15.38%,Green,36.34%,Green
'80011731,National,355,0.875,Pandora Ayios Antonios - Pandora Athalassas,3,5,5,7,15,134.54,0.00%,445,0.875,Pandora Tseriou - Pandora Athalassas,4,4,5,2,13,119.03,0.00%,555,1,Pandora Athalassas,5,5,5,0,20,194.51,0.00%,14.29%,Green,14.29%,Green
'80011732,National,,,,,,,,,,,533,0.625,Pandora Kaimakli - Pandora Prodromou,5,3,3,1,4,25.03,20.54%,322,0.313,Pandora Agios Dometios - Pandora Prodromou,3,2,2,7,2,10.65,24.23%,,White,(  49.92%),Red
'80011733,National,,,,,,,,,,,511,0.25,Pandora Athalassas,5,1,1,1,2,7.53,0.00%,421,0.25,Pandora Acropoleos - Pandora Athalassas,4,2,1,2,2,5.38,0.00%,,White,0.00%,Green
'80011734,National,,,,,,,,,,,333,0.5,Pandora Tseriou - Pandora Athalassas,3,3,3,6,4,26.97,0.00%,122,0.188,Pandora Athalassas,1,2,2,35,2,13.99,0.00%,,White,(  62.40%),Red
'80011735,National,,,,,,,,,,,113,0.25,Pandora Athalassas,1,1,3,47,2,26.12,0.00%,,,,,,,,,,,,,,Black
'80011736,National,111,0,Pandora Athalassas,1,1,1,45,1,4.94,0.00%,112,0.125,Pandora Athalassas,1,1,2,42,1,14.14,0.00%,,,,,,,,,,,,Black,,Black
'80011737,National,112,0.125,Pandora Ayios Antonios,1,1,2,38,1,12.39,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011738,National,212,0.188,Pandora Athalassas,2,1,2,24,2,16.21,35.23%,112,0.125,Pandora Ayios Antonios - Pandora Athalassas,1,1,2,32,2,21.41,0.00%,,,,,,,,,,,,Black,,Black
'80011740,National,112,0.125,Pandora Ayios Antonios - Pandora Athalassas,1,1,2,50,2,19.42,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011741,National,511,0.25,Pandora Athalassas,5,1,1,0,1,4.08,0.00%,111,0,Pandora Athalassas,1,1,1,25,1,3.2,0.00%,,,,,,,,,,,,Black,,Black
'80011742,National,,,,,,,,,,,522,0.438,Pandora Athalassas,5,2,2,1,3,20.86,0.00%,112,0.125,Pandora Athalassas,1,1,2,42,1,14.51,0.00%,,White,(  71.46%),Red
'80011745,National,312,0.25,Pandora Athalassas,3,1,2,10,1,20.48,0.00%,212,0.188,Pandora Acropoleos - Pandora Athalassas,2,1,2,22,2,18.05,0.00%,,,,,,,,,,,,Black,,Black
'80011747,National,,,,,,,,,,,312,0.25,Pandora Athalassas,3,1,2,6,2,15.82,0.00%,,,,,,,,,,,,,,Black
'80011749,National,222,0.25,Pandora Athalassas,2,2,2,23,3,14.48,0.00%,532,0.5,Pandora Athalassas,5,3,2,1,5,20.45,0.00%,245,0.75,Pandora Athalassas,2,4,5,29,8,89.49,0.00%,200.00%,Blue,50.00%,Green
'80011750,National,,,,,,,,,,,433,0.563,Pandora Ayios Antonios,4,3,3,3,5,34.74,0.00%,233,0.438,Pandora Ayios Antonios - Pandora Kaimakli,2,3,3,20,5,32.58,0.00%,,White,(  22.20%),Yellow
'80011751,National,545,0.938,Pandora Tseriou - Pandora Athalassas,5,4,5,1,10,86.28,0.00%,433,0.563,Pandora Tseriou - Pandora Athalassas,4,3,3,3,6,40.55,0.00%,244,0.625,Pandora Tseriou,2,4,4,20,7,52.71,0.00%,(  33.37%),Red,11.01%,Green
'80011752,National,533,0.625,Pandora Tseriou,5,3,3,1,5,36.43,0.00%,533,0.625,Pandora Tseriou,5,3,3,1,6,24.95,0.00%,444,0.75,Pandora Tseriou,4,4,4,4,7,52.03,0.00%,20.00%,Green,20.00%,Green
'80011753,National,512,0.375,Pandora Athalassas,5,1,2,1,2,12.66,0.00%,332,0.375,Pandora Athalassas,3,3,2,7,6,14.87,0.00%,122,0.188,Pandora Athalassas,1,2,2,41,3,12.67,0.00%,(  49.87%),Red,(  49.87%),Red
'80011754,National,113,0.25,Pandora Athalassas,1,1,3,36,1,34,38.38%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80011755,National,333,0.5,Pandora Athalassas,3,3,3,6,4,32.78,0.00%,343,0.563,Pandora Athalassas,3,4,3,10,8,36.52,0.00%,445,0.875,Pandora Tseriou - Pandora Athalassas,4,4,5,2,12,92.44,0.00%,75.00%,Blue,55.42%,Blue
