"cardcode","Store","RFM (MAY15-JUN15)","Rescaled Score","Visited Stores","Recency Score","Frequency Score","Monetary Score","Recency Value","Frequency Value","Monetary Value","Private Label % Sales","RFM (MAR16-APR16)","Rescaled Score","Visited Stores","Recency Score","Frequency Score","Monetary Score","Recency Value","Frequency Value","Monetary Value","Private Label % Sales","RFM (MAY16-JUN16)","Rescaled Score","Visited Stores","Recency Score","Frequency Score","Monetary Score","Recency Value","Frequency Value","Monetary Value","Private Label % Sales","Score Difference with Y_Ago","RFM Lights with Y_Ago (MAY15-JUN15)","Score Difference with Previous","RFM Lights with Previous (MAR16-APR16)"
'80000050,National,244,0.625,Pandora Ayios Antonios,2,4,4,16,11,73.86,5.81%,245,0.75,Pandora Ayios Antonios - Pandora Kaimakli,2,4,5,19,8,100.62,0.00%,534,0.75,Pandora Ayios Antonios,5,3,4,0,6,56.16,0.00%,20.00%,Green,0.00%,Green
'80000051,National,223,0.375,Pandora Ayios Antonios - Pandora Prodromou,2,2,3,21,3,25.05,0.00%,522,0.438,Pandora Ayios Antonios,5,2,2,1,3,11.24,0.00%,333,0.5,Pandora Ayios Antonios,3,3,3,8,5,24.09,0.00%,33.33%,Green,14.16%,Green
'80000052,National,111,0,Pandora Ayios Antonios,1,1,1,31,2,6.29,0.00%,431,0.313,Pandora Ayios Antonios,4,3,1,3,5,10.64,0.00%,232,0.313,Pandora Ayios Antonios,2,3,2,14,4,13.21,0.00%,100.00%,Blue,0.00%,Green
'80000054,National,,,,,,,,,,,,,,,,,,,,,432,0.438,Pandora Ayios Antonios - Pandora Kaimakli,4,3,2,4,4,19.58,0.00%,,White,,White
'80000055,National,455,0.938,Pandora Ayios Antonios - Pandora Acropoleos - Pandora Athalassas,4,5,5,5,14,107.26,0.00%,455,0.938,Pandora Ayios Antonios - Pandora Acropoleos - Pandora Athalassas,4,5,5,4,20,123.75,0.00%,555,1,Pandora Ayios Antonios - Pandora Acropoleos - Pandora Athalassas,5,5,5,1,23,150.73,0.00%,6.61%,Green,6.61%,Green
'80000056,National,111,0,Pandora Tseriou,1,1,1,45,1,8.1,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80000057,National,244,0.625,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Prodromou,2,4,4,15,8,52.1,0.00%,455,0.938,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Tseriou - Pandora Prodromou,4,5,5,4,38,172.43,0.00%,555,1,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Tseriou,5,5,5,1,17,88.15,0.00%,60.00%,Blue,6.61%,Green
'80000058,National,455,0.938,Pandora Ayios Antonios,4,5,5,3,32,257.2,0.93%,555,1,Pandora Ayios Antonios,5,5,5,1,30,198.65,0.00%,555,1,Pandora Ayios Antonios,5,5,5,0,27,248.19,0.00%,6.61%,Green,0.00%,Green
'80000059,National,523,0.563,Pandora Ayios Antonios - Pandora Kaimakli,5,2,3,0,3,27.23,0.00%,533,0.625,Pandora Ayios Antonios,5,3,3,0,4,45.04,0.00%,233,0.438,Pandora Ayios Antonios - Pandora Kaimakli,2,3,3,14,5,28.48,0.00%,(  22.20%),Yellow,(  29.92%),Yellow
'80000060,National,,,,,,,,,,,,,,,,,,,,,213,0.313,Pandora Ayios Antonios,2,1,3,26,1,33.85,0.00%,,White,,White
'80000061,National,422,0.375,Pandora Ayios Antonios,4,2,2,4,3,17.09,0.00%,533,0.625,Pandora Ayios Antonios,5,3,3,1,5,30.8,0.00%,244,0.625,Pandora Ayios Antonios,2,4,4,20,7,66.78,0.00%,66.67%,Blue,0.00%,Green
'80000063,National,211,0.063,Pandora Prodromou,2,1,1,16,1,1.71,0.00%,111,0,Pandora Ayios Antonios,1,1,1,57,1,3.43,0.00%,,,,,,,,,,,,Black,,Black
'80000064,National,312,0.25,Pandora Ayios Antonios - Pandora Athalassas,3,1,2,11,2,17.95,0.00%,534,0.75,Pandora Acropoleos - Pandora Athalassas - Pandora Prodromou,5,3,4,0,7,64.6,0.00%,411,0.188,Pandora Athalassas,4,1,1,5,1,5.14,0.00%,(  24.80%),Yellow,(  74.93%),Red
'80000065,National,111,0,Pandora Ayios Antonios,1,1,1,31,1,8.24,0.00%,211,0.063,Pandora Ayios Antonios,2,1,1,17,1,10.61,0.00%,,,,,,,,,,,,Black,,Black
'80000067,National,444,0.75,Pandora Ayios Antonios,4,4,4,3,9,62.2,0.00%,455,0.938,Pandora Ayios Antonios,4,5,5,4,18,168.62,0.00%,555,1,Pandora Ayios Antonios,5,5,5,1,26,236.73,5.19%,33.33%,Green,6.61%,Green
'80000068,National,533,0.625,Pandora Ayios Antonios - Pandora Kaimakli,5,3,3,0,5,29.05,0.00%,343,0.563,Pandora Ayios Antonios - Pandora Kaimakli - Pandora Prodromou,3,4,3,5,8,45.88,3.31%,555,1,Pandora Ayios Antonios - Pandora Kaimakli,5,5,5,0,15,88.15,0.00%,60.00%,Blue,77.62%,Blue
'80000069,National,112,0.125,Pandora Ayios Antonios - Pandora Kaimakli,1,1,2,34,2,17.52,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80000070,National,422,0.375,Pandora Ayios Antonios - Pandora Tseriou,4,2,2,3,3,17.24,0.00%,421,0.25,Pandora Athalassas - Pandora Prodromou,4,2,1,4,3,7.6,0.00%,522,0.438,Pandora Agios Dometios - Pandora Athalassas,5,2,2,1,2,12,0.00%,16.80%,Green,75.20%,Blue
'80000071,National,212,0.188,Pandora Ayios Antonios,2,1,2,26,1,12.23,0.00%,312,0.25,Pandora Ayios Antonios,3,1,2,9,1,16.75,0.00%,534,0.75,Pandora Ayios Antonios,5,3,4,1,6,52.61,0.00%,298.94%,Blue,200.00%,Blue
